"","date","nretweets"
"442",2020-03-17,"266141"
"443",2020-03-18,"278135"
"444",2020-03-19,"275881"
"445",2020-03-20,"255855"
"446",2020-03-21,"282990"
"447",2020-03-22,"280265"
"448",2020-03-23,"245568"
"449",2020-03-24,"245068"
"450",2020-03-25,"282509"
"451",2020-03-26,"274523"
"452",2020-03-27,"259447"
"453",2020-03-28,"231519"
"454",2020-03-29,"203111"
"455",2020-03-30,"231783"
"456",2020-03-31,"224193"
"457",2020-04-01,"208193"
"458",2020-04-02,"253375"
"459",2020-04-03,"225183"
"460",2020-04-04,"217886"
"461",2020-04-05,"220790"
"462",2020-04-06,"280944"
"463",2020-04-07,"238204"
"464",2020-04-08,"230115"
"465",2020-04-09,"322110"
"466",2020-04-10,"242400"
"467",2020-04-11,"221619"
"468",2020-04-12,"205798"
"469",2020-04-13,"271996"
"470",2020-04-14,"252706"
"471",2020-04-15,"221336"
"472",2020-04-16,"200150"
"473",2020-04-17,"182170"
"474",2020-04-18,"200499"
"475",2020-04-19,"246765"
