"","date","unique_authors"
"422","2020-02-26",3083
"423","2020-02-27",2904
"424","2020-02-28",2474
"425","2020-02-29",2512
"426","2020-03-01",2869
"427","2020-03-02",3008
"428","2020-03-03",2979
"429","2020-03-04",3045
"430","2020-03-05",2926
"431","2020-03-06",2465
"432","2020-03-07",2642
"433","2020-03-08",2859
"434","2020-03-09",3369
"435","2020-03-10",3386
"436","2020-03-11",3371
"437","2020-03-12",3661
"438","2020-03-13",3186
"439","2020-03-14",3434
"440","2020-03-15",3600
"441","2020-03-16",3710
"442","2020-03-17",3638
"443","2020-03-18",3639
"444","2020-03-19",3642
"445","2020-03-20",3287
"446","2020-03-21",3208
"447","2020-03-22",3344
"448","2020-03-23",3454
"449","2020-03-24",3390
"450","2020-03-25",3453
"451","2020-03-26",3312
"452","2020-03-27",3067
"453","2020-03-28",2872
"454","2020-03-29",3483
"455","2020-03-30",3434
"456","2020-03-31",3525
"457","2020-04-01",3440
"458","2020-04-02",3383
"459","2020-04-03",2996
"460","2020-04-04",2939
"461","2020-04-05",3378
"462","2020-04-06",3221
"463","2020-04-07",3287
"464","2020-04-08",3261
"465","2020-04-09",3142
"466","2020-04-10",2819
"467","2020-04-11",2734
"468","2020-04-12",2686
"469","2020-04-13",3192
"470","2020-04-14",3248
"471","2020-04-15",3246
"472","2020-04-16",3112
"473","2020-04-17",2800
"474","2020-04-18",2771
"475","2020-04-19",3187
"476","2020-04-20",9
