"","date","unique_authors"
"340",2019-12-06,"1351579"
"341",2019-12-07,"1261922"
"342",2019-12-08,"1397991"
"343",2019-12-09,"1421826"
"344",2019-12-10,"1484131"
"345",2019-12-11,"1811880"
"346",2019-12-12,"1855499"
"347",2019-12-13,"1292133"
"348",2019-12-14,"1280939"
"349",2019-12-15,"1309402"
"350",2019-12-16,"1359631"
"351",2019-12-17,"1379449"
"352",2019-12-18,"1377792"
"353",2019-12-19,"1351098"
"354",2019-12-20,"1225800"
"355",2019-12-21,"1162589"
"356",2019-12-22,"1205952"
"357",2019-12-23,"1241215"
"358",2019-12-24,"1088624"
"359",2019-12-25,"1058622"
"360",2019-12-26,"1071567"
"361",2019-12-27,"1107289"
"362",2019-12-28,"1240382"
"363",2019-12-29,"1183367"
"364",2019-12-30,"1313373"
"365",2019-12-31,"1412285"
"366",2020-01-01,"1204006"
"367",2020-01-02,"1270424"
"368",2020-01-03,"1205108"
"369",2020-01-04,"1274551"
"370",2020-01-05,"1321525"
"371",2020-01-06,"1333295"
"372",2020-01-07,"1347085"
"373",2020-01-08,"1381596"
"374",2020-01-09,"1388746"
"375",2020-01-10,"1331590"
"376",2020-01-11,"1294243"
"377",2020-01-12,"1341799"
"378",2020-01-13,"1394261"
"379",2020-01-14,"1399813"
"380",2020-01-15,"1383834"
"381",2020-01-16,"1405595"
"382",2020-01-17,"1285560"
"383",2020-01-18,"1286281"
"384",2020-01-19,"1330398"
"385",2020-01-20,"1414521"
"386",2020-01-21,"1435718"
"387",2020-01-22,"1417504"
"388",2020-01-23,"1425272"
"389",2020-01-24,"1203075"
"390",2020-01-25,"1266438"
"391",2020-01-26,"1322151"
"392",2020-01-27,"1417299"
"393",2020-01-28,"1471497"
"394",2020-01-29,"1422203"
"395",2020-01-30,"1581441"
"396",2020-01-31,"1442239"
"397",2020-02-01,"1283207"
"398",2020-02-02,"1343121"
"399",2020-02-03,"1373220"
"400",2020-02-04,"1375433"
"401",2020-02-05,"1383192"
"402",2020-02-06,"1348439"
"403",2020-02-07,"1261379"
"404",2020-02-08,"1278757"
"405",2020-02-09,"1309510"
"406",2020-02-10,"1376222"
"407",2020-02-11,"1388675"
"408",2020-02-12,"1375289"
"409",2020-02-13,"1484494"
"410",2020-02-14,"1342732"
"411",2020-02-15,"1274121"
"412",2020-02-16,"1336008"
"413",2020-02-17,"1375289"
"414",2020-02-18,"1406102"
"415",2020-02-19,"1393177"
"416",2020-02-20,"1382862"
"417",2020-02-21,"1290104"
"418",2020-02-22,"1289418"
"419",2020-02-23,"1316532"
"420",2020-02-24,"1378588"
"421",2020-02-25,"1391239"
"422",2020-02-26,"1431025"
"423",2020-02-27,"1392030"
"424",2020-02-28,"1344112"
"425",2020-02-29,"1276397"
"426",2020-03-01,"1308355"
"427",2020-03-02,"1370973"
"428",2020-03-03,"1390711"
"429",2020-03-04,"1442652"
"430",2020-03-05,"1391271"
"431",2020-03-06,"1291902"
"432",2020-03-07,"1344848"
"433",2020-03-08,"1303441"
"434",2020-03-09,"1375089"
"435",2020-03-10,"1457781"
"436",2020-03-11,"1525575"
"437",2020-03-12,"1606250"
"438",2020-03-13,"1384618"
"439",2020-03-14,"1409112"
"440",2020-03-15,"1553704"
"441",2020-03-16,"1722179"
"442",2020-03-17,"1800173"
"443",2020-03-18,"1773173"
"444",2020-03-19,"1879331"
"445",2020-03-20,"1623242"
"446",2020-03-21,"1630315"
"447",2020-03-22,"1881090"
"448",2020-03-23,"1878633"
"449",2020-03-24,"1812537"
"450",2020-03-25,"1921413"
"451",2020-03-26,"1872697"
"452",2020-03-27,"1653619"
"453",2020-03-28,"1537946"
"454",2020-03-29,"1687471"
"455",2020-03-30,"1730186"
"456",2020-03-31,"1759306"
"457",2020-04-01,"1812691"
"458",2020-04-02,"1822671"
"459",2020-04-03,"1665849"
"460",2020-04-04,"1687959"
"461",2020-04-05,"1754963"
"462",2020-04-06,"1757289"
"463",2020-04-07,"1732069"
