"","date","nretweets"
"407",2020-02-11,"1392367"
"408",2020-02-12,"1625509"
"409",2020-02-13,"1454976"
"410",2020-02-14,"1763448"
"411",2020-02-15,"1431279"
"412",2020-02-16,"1609960"
"413",2020-02-17,"1497048"
"414",2020-02-18,"2949280"
"415",2020-02-19,"1591253"
"416",2020-02-20,"1783071"
"417",2020-02-21,"1215930"
"418",2020-02-22,"1851750"
"419",2020-02-23,"1434189"
"420",2020-02-24,"2112995"
"421",2020-02-25,"1533715"
"422",2020-02-26,"1744907"
"423",2020-02-27,"1884426"
"424",2020-02-28,"1578697"
"425",2020-02-29,"1378648"
"426",2020-03-01,"3296250"
"427",2020-03-02,"3025692"
"428",2020-03-03,"1546021"
"429",2020-03-04,"1595410"
"430",2020-03-05,"1417893"
"431",2020-03-06,"1379978"
"432",2020-03-07,"2176270"
"433",2020-03-08,"3820903"
"434",2020-03-09,"1524819"
"435",2020-03-10,"3345722"
"436",2020-03-11,"1966575"
"437",2020-03-12,"1586430"
"438",2020-03-13,"12081733"
"439",2020-03-14,"1514176"
"440",2020-03-15,"5672985"
"441",2020-03-16,"2633907"
"442",2020-03-17,"2185083"
"443",2020-03-18,"3099609"
"444",2020-03-19,"1933732"
"445",2020-03-20,"7481998"
"446",2020-03-21,"1994429"
"447",2020-03-22,"5470108"
"448",2020-03-23,"3407582"
"449",2020-03-24,"2859565"
"450",2020-03-25,"2015797"
"451",2020-03-26,"2168786"
"452",2020-03-27,"1803275"
"453",2020-03-28,"2122225"
"454",2020-03-29,"1925584"
"455",2020-03-30,"2709985"
"456",2020-03-31,"2474266"
"457",2020-04-01,"2324353"
"458",2020-04-02,"2495468"
"459",2020-04-03,"2393448"
"460",2020-04-04,"2750977"
"461",2020-04-05,"1909453"
"462",2020-04-06,"2111998"
"463",2020-04-07,"1954352"
"464",2020-04-08,"2275047"
"465",2020-04-09,"2420720"
"466",2020-04-10,"2832626"
"467",2020-04-11,"6441756"
"468",2020-04-12,"3297663"
"469",2020-04-13,"3163133"
"470",2020-04-14,"2614783"
"471",2020-04-15,"2248607"
"472",2020-04-16,"2376902"
"473",2020-04-17,"1859732"
"474",2020-04-18,"2074665"
"475",2020-04-19,"5298495"
