"hits","total","low","high","pr","bl","sd","wordlist","country"
192007,438321,43.6581581152169,43.9521455130351,43.8051108662373,41.5953514188919,2.12240955020423,"positive","Switzerland"
696761,12978091,5.35649110280296,5.38102479692922,5.36874799228947,4.20800627661997,0.289698368764581,"anxiety","Australia"
1420631,12978091,10.9293971528669,10.9633778426444,10.9463787856011,11.7172578400977,0.552669071182796,"anger","Australia"
930743,12978091,7.15761608571839,7.18569896785682,7.1716479719552,6.24076179520563,0.284067898001161,"sadness","Australia"
7642622,12978091,58.8618702098651,58.9154167992382,58.8886454872292,60.1278792175171,1.2444117876659,"positive","Australia"
116383,2494828,4.63883499858005,4.69121208016631,4.66497089178092,4.05831880816344,0.537466234698263,"anxiety","NewZealand"
254897,2494828,10.1794605071693,10.2546657937445,10.2170169646966,11.2241710113875,0.857605939906809,"anger","NewZealand"
171270,2494828,6.83365584477523,6.89644895732672,6.86500231679298,5.99446520831248,0.440835287831934,"sadness","NewZealand"
1410817,2494828,56.488133244926,56.611191466089,56.5496699572075,57.7813537771151,1.28729854438087,"positive","NewZealand"
633752,12317032,5.13299933946358,5.15768268195238,5.14533046597589,4.82027093206396,0.680125151876967,"anxiety","Chile"
1601469,12317032,12.9832910407709,13.0208643619317,13.0020690049356,13.0880899125695,2.29703734069315,"anger","Chile"
787118,12317032,6.37683142665148,6.40415773843998,6.39048433096545,5.98681438617957,0.577413716092753,"sadness","Chile"
4721407,12317032,38.3051897716308,38.3595024653405,38.3323433762289,39.8087565108396,1.38227137938726,"positive","Chile"
232414,4593701,5.03938172682831,5.0794876403823,5.05940634795343,4.67162391882429,0.895470826067236,"anxiety","Ecuador"
530530,4593701,11.5198614361471,11.5783381827215,11.5490755710918,12.089913305857,2.03588529926887,"anger","Ecuador"
350004,4593701,7.59497057383518,7.64351479381772,7.61921596551452,6.28144264898457,0.742572632255868,"sadness","Ecuador"
2034109,4593701,44.2349657955444,44.3258336816276,44.2803961337492,45.3973087611207,1.49209690090649,"positive","Ecuador"
248808,5324606,4.65488497114178,4.69075723485025,4.67279644728643,4.54234240335563,0.61149700503811,"anxiety","Peru"
618211,5324606,11.583256741471,11.6376956301933,11.6104553088059,12.119323749724,0.908542955732663,"anger","Peru"
357091,5324606,6.68519870030421,6.72770936398751,6.7064304851852,6.18454699931881,0.792052568654888,"sadness","Peru"
2179475,5324606,40.890367152825,40.97391585816,40.9321365749879,42.219271337691,1.01108134884486,"positive","Peru"
1384554,34849466,3.96647362473494,3.97944630732093,3.9729561422835,3.75517980742275,0.27199333605262,"anxiety","Mexico"
3698424,34849466,10.6023460827844,10.6228006107398,10.6125700749618,10.6732731079661,0.847802751364386,"anger","Mexico"
2080718,34849466,5.96272346101536,5.97845965297702,5.97058789939565,5.59789949201618,0.44747184821284,"sadness","Mexico"
15010069,34849466,43.0547181051204,43.0876015537523,43.071159253918,44.4450844836067,0.80397814818627,"positive","Mexico"
