"date","Twitter","value","weekday","bl","sd","country"
2019-03-04,"Total tweets",15077,"Montag",17148.5384615385,2478.66235637754,"Austria"
2019-03-05,"Unique authors",2787,"Dienstag",2762.39622641509,202.066281930406,"Austria"
2019-03-05,"Total tweets",16090,"Dienstag",17298.0754716981,1764.64736997178,"Austria"
2019-03-06,"Unique authors",2822,"Mittwoch",2753.40384615385,212.297539964817,"Austria"
2019-03-06,"Total tweets",15843,"Mittwoch",17215.4230769231,1758.49480362012,"Austria"
2019-03-07,"Unique authors",2894,"Donnerstag",2690.63461538462,184.42353523048,"Austria"
2019-03-07,"Total tweets",16112,"Donnerstag",16896.5,1754.90457256898,"Austria"
2019-03-08,"Unique authors",2196,"Freitag",2207.59615384615,209.435774198986,"Austria"
2019-03-08,"Total tweets",15608,"Freitag",16432.3269230769,1509.53430971347,"Austria"
2019-03-09,"Unique authors",2274,"Samstag",2247.34615384615,199.560191383244,"Austria"
2019-03-09,"Total tweets",13073,"Samstag",14460.25,3180.78166416654,"Austria"
2019-03-10,"Unique authors",2652,"Sonntag",2699.09615384615,205.558088695274,"Austria"
2019-03-10,"Total tweets",14715,"Sonntag",15447.9423076923,2567.93172602924,"Austria"
2019-03-11,"Unique authors",2855,"Montag",2783.86538461538,149.781151311119,"Austria"
2019-03-11,"Total tweets",15337,"Montag",17148.5384615385,2478.66235637754,"Austria"
2019-03-12,"Unique authors",2808,"Dienstag",2762.39622641509,202.066281930406,"Austria"
2019-03-12,"Total tweets",16916,"Dienstag",17298.0754716981,1764.64736997178,"Austria"
2019-03-13,"Unique authors",2836,"Mittwoch",2753.40384615385,212.297539964817,"Austria"
2019-03-13,"Total tweets",16544,"Mittwoch",17215.4230769231,1758.49480362012,"Austria"
2019-03-14,"Unique authors",3005,"Donnerstag",2690.63461538462,184.42353523048,"Austria"
2019-03-14,"Total tweets",16171,"Donnerstag",16896.5,1754.90457256898,"Austria"
